window_idx,t0,t1,x0,y0,yaw0,xt,yt,yawt,v0,vt,dyaw_deg,xr_true,yr_true,xr_pred,yr_pred,err_x,err_y,err_dist
0,0,14,0.8891942501068115,-0.15286259353160858,-39.831573486328125,1.0669194459915161,-0.4848270118236542,-75.28153991699219,0.8439007997512817,0.6827252507209778,-35.44996643066406,0.34911479378599536,-0.14108682049470678,0.38833802938461304,0.022709254175424576,0.03922322392463684,0.163796067237854,0.16842687712366394
1,5,19,0.9665749073028564,-0.23994708061218262,-48.956546783447266,1.0695101022720337,-0.6119112968444824,-89.71591186523438,0.5239272713661194,0.5795823931694031,-40.75936508178711,0.34813026560579735,-0.16660837520931715,0.42168644070625305,-0.12255186587572098,0.07355618476867676,0.04405651241540909,0.0857408222723156
2,10,24,1.0353813171386719,-0.3647684156894684,-63.08747100830078,1.0556237697601318,-0.7699589133262634,-95.95052337646484,0.5727517008781433,0.63804030418396,-32.86305236816406,0.37047012415751834,-0.16535109122711764,0.46626749634742737,-0.183786541223526,0.09579735994338989,-0.01843544840812683,0.09755511227061403
3,15,29,1.0689876079559326,-0.5065339803695679,-78.42363739013672,1.021127462387085,-0.9265021085739136,-104.03511047363281,0.5809364318847656,0.6349678635597229,-25.611473083496094,0.4018209110297215,-0.13116317204374742,0.37550684809684753,-0.07940087467432022,-0.02631404995918274,0.05176229029893875,0.0580668917908129
4,20,34,1.0676501989364624,-0.6545766592025757,-91.56163024902344,1.0195271968841553,-1.097116470336914,-88.69837951660156,0.6948387622833252,0.8071686029434204,2.863250732421875,0.443686905567382,-0.03604493852655695,0.4593997299671173,-0.13938099145889282,0.015712827444076538,-0.10333605110645294,0.1045238365377141
5,25,39,1.0491256713867188,-0.8144998550415039,-97.12653350830078,1.094928503036499,-1.259896993637085,-63.936222076416016,0.7576548457145691,0.8588246703147888,33.190311431884766,0.43627391844440905,0.10070540472800107,0.426654189825058,0.09612827003002167,-0.009619742631912231,-0.004577137529850006,0.010653151471343636
6,30,44,1.0161935091018677,-0.9503964185714722,-103.74949645996094,1.1888927221298218,-1.4234066009521484,-60.40930938720703,0.6432476043701172,0.8925275206565857,43.340187072753906,0.418408985351602,0.2801741811682837,0.4766075909137726,0.13922080397605896,0.05819860100746155,-0.14095339179039001,0.15249569114057254
7,35,49,1.0263206958770752,-1.1196266412734985,-81.85091400146484,1.223615288734436,-1.5863186120986938,-78.92435455322266,0.6727450489997864,0.7608911395072937,2.9265594482421875,0.48994596661774853,0.12914914555836904,0.4180314540863037,0.03541164845228195,-0.07191452383995056,-0.09373749047517776,0.11814573991351046
8,40,54,1.108759880065918,-1.2822939157485962,-61.31568145751953,1.2177718877792358,-1.7805520296096802,-94.14891815185547,0.7084965109825134,0.7807477712631226,-32.83323669433594,0.4894346199789703,-0.1435218402199968,0.48457249999046326,-0.13064679503440857,-0.0048621296882629395,0.01287505030632019,0.013762529763664945
9,45,59,1.1970387697219849,-1.4505515098571777,-63.552486419677734,1.1669707298278809,-1.9684594869613647,-105.30262756347656,0.9030637145042419,0.9196452498435974,-41.75014114379883,0.4503135044997243,-0.25758592243444,0.4966055452823639,-0.27632325887680054,0.04629203677177429,-0.018737345933914185,0.049940372456825685
